#R1=R2=3300 r=330
#f	df	Vin	dvin	Vout	dvout
1.087	0.001	5.00	0.2	0.234	0.007
6.710	0.001	5.04	0.2	0.196	0.006
17.86	0.01	5.00	0.2	0.0904	0.003
33.13	0.01	4.92	0.1	0.0296	0.0009
45.24	0.01	4.88	0.1	0.01136	0.0003
48.37	0.01	4.88	0.1	0.01496	0.0004
63.36	0.01	4.96	0.1	0.0388	0.001
65.96	0.01	4.92	0.1	0.0440	0.001
118.1	0.1	4.84	0.1	0.1136	0.003
334.3	0.1	4.86	0.1	0.3500	0.01
1276	1	4.88	0.1	1.320	0.04
5286	1	4.48	0.1	3.28	0.01
30990	10	4.24	0.1	4.16	0.01
